title,review,rating,date,developerResponse
파운트 후기,"투자, 펀드, 주식 관련해서 관심도 없었고 지식도 전혀 없던중에 우연히 광고를 보고 어플을 받아보게 되었습니다. 뭣도 모르고 이것저것 살퍼보다가 진행하게 되었는데, 카톡으로도 상담이 진지하게 이루어지고, 궁금한거 여쭤볼때마다 친절하게 알려주셔서 도움이 되고 있습니다.단기간에 수익을 보긴 힘들거 같아서, 우선 1년동안은 꾸준히 지속적으로 관찰해보려구요~ 투자의 첫 걸음이라면 파운트 믿고 사용해보셔도 좋을 거 같아요^^",5,2020-10-27 04:02:38,
파운트로 시작하세여,"sns에서 광고영상을 보고 반신반의하며 있다 
구래 커피값할돈으러 해보자 하여 시작하게되었네요
주식 투자 에 대해 아무것도 모르는 저였기에 AI로 알아서 해준다길래 했더니 무심코 들어가보니 수익이 난거있죠 투자한금액은 크지않아 수익이 엄청나진않지만 그래도 수익이 난거보면 신기하네요 ㅎㅎ
앞으로 꾸준히 넣어볼 생각입니다. 저처럼 아무것도 모르는분둘 적금한다생각하고 하시면 적금보다도 큰 도움이 될꺼같네요 ㅎㅎ 모두 성투하세요",5,2021-02-24 09:17:12,
"투자에 대해 아무것도 모르던 저에게 한줄기 빛,,!","저는 투자에 대해서는 이해도 못 했고, 어떤 종류가 있는지, 어떤 게 나와 맞는 것인지 그저 어렵기만한 영역이었습니다. 그러다 그냥 적금, 예금으로 묵히고 있는 저의 목돈이 너무 아쉬워 주변에 물어물어 조금씩 투자를 시작하려는 중! 파운트에 대해 알게 되었고, 파운트를 자세히 알아가다보니 ‘투자’라는 아이와도 한 층 가까워졌어요ㅠㅠㅠ 이제는 파운트를 믿고 투자를 맡기고 있답니다! 정말 감사할 마음을 어떻게 표현해야 할지.. 이렇게 리뷰라도 남깁니다. 모두들 파운트 하세욥..!",5,2021-05-10 09:46:24,
재테크에 눈을 뜨다,학생신분이어서 투자를 하기엔 겁도 많고 정보도 부족하며 가장 중요한 자금이 여유롭지 않아 망설이고 있었습니다. 하지만 파운트를 알고 나서는 최소 10만원의 금액으로 안정성있는 투자를 하기 시작하였습니다. 문의사항이 있을 때는 카카오톡으로 서비스담당자분과 상담을 하는데 담당자분이 이해하기 쉽게 말씀을 해주시고 친절하셔서 기분좋게 펀드에 대해 공부하였습니다. 앞으로 수익이 얼마나 날진 모르지만 저금리시대에 예금도 좋지만 파운트에서의 펀드도 고려해볼만 하다고 생각합니다.,5,2020-12-01 05:46:36,
파운트 2030금융 문맹탈출기 현장 강의 후기,저는 파운트에 투자를 하는 중 파운트에서 진행하는 금융문맹탈출기라는 현장 강의를 듣게 되었어요~! 처음에는 과연 얼마나 좋은 정보와 지식을 얻을 수 있을까 하며 반신반의로 신청을 했어요. 하지만 막상 강의를 들으미 강사님도 너무 재밌고 쉽게 금융 용어와 포트폴리오를 설명해 주셨고 생각보다 많은 정보를 얻을 수 있어 파운트에 대한 신뢰도 더 생기게 되었어요! 원래 후기 잘 안쓰는데 만족스러워 이렇게 남깁니다! 앞으로도 파운트와 함께 금융부자가 되고싶네요ㅎㅎ,5,2020-06-28 10:33:11,"안녕하세요, 조민지 고객님 :)

파운트로 안정적인 관리도 시작하시고, 금융공부도 시작하셨군요!
이상적으로 돈을 불려나가고 계시네요 ㅎ
강의나 앱에서 해결되지 못한 궁금증이 있으시다면 카카오톡(http://pf.kakao.com/_xcixfWC/chat) 으로연락해주세요.

언제든 빠르고 친절하게 답변드리겠습니다!"
내 돈을 굴려주는 펀드 후기,"처음에는 반신반의해서 소액인 10만원으로 해보자해서 시작하게됐습니다. 어느덧 수익률은 꾸준히 오르고 있고 만족할만한 수익이라 지인한테도 추천하고있습니다. 펀드 수익률이 장기적으로 보면 상승하고 있는데 손해보는 사람이 있다는 말이 왜 있는지 알겠더라구요. 얼마전에 수익률이 상승하다가 떨어져서 안타까웠는데, 이 때, 펀드를 해지해야하나 말아야하나 고민했는데 해지하지않고 지켜보는쪽으로 결론 내렸더니 다시 수익률이 올라갔네요. 
파운트 믿고 투자합니다 :)",5,2021-02-04 09:01:13,
안정적인 노후를 위한 준비,"유튜브에서 대표님의 인터뷰를 보고 감명받아 파운트를 찾아보게 되었습니다. 올해 주식을 시작하면서 개인이 꾸준히 수익을 내는 게 쉬운 일이 아닌 것을 알게 되었고, 그래서 ai기반의 데이터로 분산투자를 해주는 파운트로 투자라이프를 시작하게 되었습니다. 
작은 금액으로 시작했지만 3년 5년 뒤 만족할만한 수익을 기대합니다. 
파운트 가입 및 설치과정이 쉽고 직관적이며 상담도 친절히 진행되었습니다 
파운트 추천합니다^^",5,2020-10-23 07:57:33,
파운트,"아직 학생 신분이라 큰돈을 가지고 투자하기 어려운 실정인데 파운트는 10만원금액부터 적금하듯이 투자할 수 있어서 좋은 것 같다. 또한 내가 원하는 시점에 투자성향에 맞게 리밸런싱 된다는 점이 다른앱들과는 차별이 있는것 같다. 
마지막으로 상담이 대기열처럼 계속 기다리지 않고 바로 상담원을 통해서 즉각적으로 물음을 해결할 수 있는것 또한 큰 도움이 된다. 
p.s 오늘 상담해주셨던 분 너무 친절하신거 같아요 ㅎㅎ",5,2020-11-25 15:05:29,
속는 셈치자고 해봤는데 벌써 수익이 나네요,남들 다.주식하는데 주식 손 놓은지 오래되어 안하고 있다가 지인이 리뷰한거 보고 파운트 한번 다운받아 해봤어요. ETF냐 펀드냐 고민중 이었는데 제투자성향 분석으로 펀드에 가입이 됐어요. 두달 안됐는데 2.5% 네요 장기투자해야하는거라 그냥 신경끄고 놔두면 될거같아요. ETF도 들어가볼까 고민중 입니다. 일일이 신경쓰기 싫으신분들 추천합니다. 포트폴리오 구성이 괜찮네요.,5,2021-02-17 09:09:30,
아직 재테크 공부중이시거나 투자에 자신 없을 때 추천드려요!,투자를 이제 시작해서 적당한 수익률로 마땅한 투자처를 찾고 있지 못했었는데 파운트를 통해 공부하는 기간동안 2-3% 정도의 수익을 올리고 있어 기분이 좋습니다:) 추가입금 후에도 빠르게 리밸런싱 해주시구요~ 큰 금액 넣은 건 아니지만 신뢰성이 있어보이니 한 번 시험삼아(?) 해보시는 것도 추천드립니다!,5,2020-11-25 03:02:32,
